,School,Zipcode
0,47 The American Sign Language and English Secondar,['10010']
1,A. Philip Randolph Campus High School,['10031']
2,ACORN Community High School,['11238']
3,Academic Leadership Charter School,['10454']
4,Academy For Personal Leadership And Excellence,['10468']
5,Academy for Careers in Television and Film,['11101']
6,Academy for Conservation and the Environment,['11236']
7,Academy for Environmental Leadership,['11237']
8,Academy for Health Careers,['11213']
9,Academy for Language and Technology,['10453']
10,Academy for New Americans,['11102']
11,Academy for Scholarship and Entrepreneurship: A Co,['10466']
12,Academy for Social Action,['10475']
13,Academy for Software Engineering,['10003']
14,Academy for Young Writers,['11239']
15,Academy of American Studies,['11101']
16,Academy of Applied Mathematics and Technology,['10454']
17,Academy of Arts and Letters,['10032']
18,Academy of Finance and Enterprise,['11101']
19,Academy of Hospitality and Tourism,['11226']
20,Academy of Innovative Technology,['11208']
21,Academy of Medical Technology: A College Board Sch,['11691']
22,Academy of Public Relations,['10456']
23,Academy of the City Charter School,['11377']
24,Accion Academy,['10459']
25,Achievement First Apollo Charter School,['11208']
26,Achievement First Aspire Charter School,['11208']
27,Achievement First Brownsville Charter School,['11233']
28,Achievement First Bushwick Charter School,['11207']
29,Achievement First Crown Heights Charter School,['11203']
30,Achievement First East New York Charter School,['11207']
31,Achievement First Endeavor Charter School,['11238']
32,Achievement First Linden Elementary School,['11207']
33,Achievement First North Brooklyn Prep Charter Scho,['11221']
34,Achievement First Voyager Charter School,['11226']
35,Albert Shanker School for Visual and Performing Ar,['11106']
36,Alfred E. Smith Career and Technical Education Hig,['10451']
37,All City Leadership Secondary School,['11237']
38,Amber Charter School,['10029']
39,Amber Charter School II,['10029']
40,American Dream Charter School,['10454']
41,Amistad Dual Language School,['10034']
42,Ampark Neighborhood,['10463']
43,Andries Hudde,['11210']
44,Antonia Pantoja Preparatory Academy: A College Boa,['10473']
45,Archer Elementary School,['10460']
46,"Archimedes Academy for Math, Science and Technolog",['10473']
47,Art and Design High School,['10022']
48,Arturo A. Schomburg Satellite Academy Bronx,['10459']
49,Aspirations Diploma Plus High School,['11225']
50,Astor Collegiate Academy,['10469']
51,Atmosphere Charter School,['10463']
52,August Martin High School,['11434']
53,Automotive High School,['11222']
54,BELL Academy,['11360']
55,Baccalaureate School for Global Education,['11106']
56,"Ballet Tech, NYC Public School for Dance",['10003']
57,Bard High School Early College,['10002']
58,Bard High School Early College Queens,['11101']
59,Baruch College Campus High School,['10010']
60,Battery Park City School,['10004']
61,Baychester Academy,['10466']
62,Baychester Middle School,['10466']
63,Bayside High School,['11361']
64,Beacon High School,['10036']
65,Bedford Academy High School,['11216']
66,Bedford Park Elementary School,['10467']
67,Bedford Stuyvesant Collegiate Charter School,['11221']
68,Bedford Stuyvesant New Beginnings Charter School,['11206']
69,Bedford Stuyvesant Preparatory High School,['11216']
70,Beginning with Children Charter School II,['11206']
